id,toxicity_score,is_encrypted,upvotes_count,cluster,pca_x,pca_y
fe3e8d47-28f1-449b-97c9-6eaffcc5fe8a,0.0,False,4.0,0,-0.39711626655066534,-0.018707760451270698
47e0ead4-2d43-4749-b2dd-bf589e580c04,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
bb62b873-a464-4eb6-9ddb-9aec164eca59,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
4fc90530-d939-4e14-b2ba-b5b6edb83412,2.0,False,1.0,2,0.9978560135049195,0.005090950584805208
5005a3e6-0a70-4b93-b583-67fd62c778bf,1.0,False,1.0,0,0.29992480899144425,-0.006637435790895281
df028512-87f8-4927-bc31-760b6413b7d0,0.0,False,5.0,0,-0.39681955689354337,-0.018821739879495748
cb8bacfc-5eae-4ecc-bb36-16bb72ef0582,0.0,False,5.0,0,-0.39681955689354337,-0.018821739879495748
dc604695-7049-4faa-9b05-75d34177e83a,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
2db49f6e-f5f1-4f6c-bf97-996f8656c48b,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
ad507497-9417-4f59-86cf-4fb50e104a57,0.0,False,3.0,0,-0.39741297620778726,-0.018593781023045645
c9f40e69-8b45-4453-82b1-91af1b79e9c6,1.0,False,12.0,0,0.30318861521978524,-0.007891209501370278
5fb4a9fd-edb0-406b-9105-91bf44fff744,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
2d10ba8b-5925-4d96-a530-519eaa22e6b3,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
768403a6-efe0-4ad6-93c6-87e187b23750,0.0,False,3.0,0,-0.39741297620778726,-0.018593781023045645
c410a083-3921-491c-a6e4-915e86439594,1.0,False,0.0,0,0.2996280993343223,-0.006523456362670229
39181cf2-024f-4f99-a3aa-ddedfa95298f,2.0,False,0.0,2,0.9975593038477976,0.005204930013030214
a451ceff-e4c3-4fc6-b9bf-dc15b945a3b7,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
bd1d129a-cddb-4820-bf06-d5751062fc49,0.0,False,3.0,0,-0.39741297620778726,-0.018593781023045645
9344e1a3-94d3-40f2-a4b2-5aee992d8a76,3.0,False,0.0,2,1.6954905083612721,0.01693331638873084
7d63564c-4037-4292-81a0-b462cdb2bef3,0.0,False,73.0,0,-0.3766433002092536,-0.02657234099879584
977a18de-5a1e-4ce0-a3ae-4516a15bc0db,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
09154865-6a9b-4564-87e4-8cec8e8fd6bb,0.0,False,7.0,0,-0.3962261375792996,-0.019049698735945624
b81c08e8-9d42-452b-a728-44587cb4b963,0.0,False,4.0,0,-0.39711626655066534,-0.018707760451270698
03706bb6-b9d3-4263-a043-941f97b86c0b,3.0,False,0.0,2,1.6954905083612721,0.01693331638873084
8ab7ac22-5102-461a-86d3-bece9bf48c5e,0.0,False,4.0,0,-0.39711626655066534,-0.018707760451270698
c61e3b9a-66c4-457a-8118-7a048f488e25,2.0,False,0.0,2,0.9975593038477976,0.005204930013030214
71c6af5b-f3e8-4543-a601-2c631a9aa51b,3.0,False,0.0,2,1.6954905083612721,0.01693331638873084
37a446ef-f09d-4241-8e32-b53fa7ceb425,3.0,False,1.0,2,1.6957872180183948,0.01681933696050556
b5644bec-1b33-4762-a81d-60d2133074cc,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
4eabb50c-0fbe-426b-9c57-08d369dfb27e,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
89aeba2f-9511-487a-bd49-267f40c58e00,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
a2efbc26-2b8d-488f-8104-eca87bddcfb3,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
af55230f-f92a-4779-885b-eda206c2f964,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
f8769ebe-97fa-401a-8f76-d2d9eeb84767,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
9671f7f3-7364-4e6b-a424-e1872cfdc6fc,0.0,False,6.0,0,-0.39652284723642156,-0.018935719307720665
19e7949f-cb76-4793-80cf-90f7beacf8ea,3.0,False,0.0,2,1.6954905083612721,0.01693331638873084
5b404d57-f424-460a-87d7-b116f629bcbc,3.0,False,1.0,2,1.6957872180183948,0.01681933696050556
aa7e2e34-7ed2-45f6-a9a6-917de2a75f3a,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
acd0f557-bb6c-4fb9-b1a8-63b2ec4b61dd,2.0,False,0.0,2,0.9975593038477976,0.005204930013030214
b4c2542a-37e6-4930-bb3d-633b6bf32ef3,0.0,False,6.0,0,-0.39652284723642156,-0.018935719307720665
138d10f0-2db7-49db-8229-dcecc0b42ba2,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
8ee68540-83b5-48de-9247-b2a1ac3600d7,0.0,False,3.0,0,-0.39741297620778726,-0.018593781023045645
0f3f227f-fc07-4b9b-9c7d-3abb8ab11890,2.0,False,0.0,2,0.9975593038477976,0.005204930013030214
9e319833-748c-4e7c-a71e-ca1185a2cf0d,0.0,False,8.0,0,-0.3959294279221776,-0.019163678164170722
aee9ea15-be0b-4aa0-a451-4c791c1ad877,1.0,False,3.0,0,0.3005182283056881,-0.006865394647345271
0fbef6fd-3b22-44c7-aef7-b201b4183163,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
78ac88f3-91cc-4bde-a216-1e544ca6eb64,0.0,False,1.0,0,-0.39800639552203104,-0.01836582216659568
6fc6642f-d7e4-4477-a017-015ec6e94137,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
fa0556c9-281f-475a-bd26-447b067af5af,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
d70c9d42-86b8-4f8e-958b-18a8568a849d,0.0,False,2.0,0,-0.39770968586490907,-0.018479801594820638
aee7c5ff-cf8d-4e37-8fc8-33181009082a,2.0,False,0.0,2,0.9975593038477976,0.005204930013030214
56ce951f-77c6-49af-9ce4-34ccd9c08d2a,0.0,False,14.0,0,-0.39414916997944616,-0.019847554733520713
62d9e5ee-86cd-4be7-8a44-90e0109c5533,0.0,False,0.0,0,-0.398303105179153,-0.01825184273837072
8cbddd5e-a895-4601-9e8f-bd044d89e7b2,0.0,False,5.0,0,-0.39681955689354337,-0.018821739879495748
